city,name,stars,pricePerNight,rating,image
Abbottabad,Hotel One Abbottabad,3,12000,4.2,images/hotels/hotel_one_abbottabad.jpg
Abbottabad,Pine Park Hotel,4,16000,4.5,images/hotels/pine_park_abbottabad.jpg
Abbottabad,Sarban Hotel,3,9500,4.0,images/hotels/sarban_hotel.jpg
Abbottabad,Dimobe Executive Hotel,3,11000,4.1,images/hotels/dimobe_hotel.jpg
Abbottabad,Regent Hotel,2,7000,3.8,images/hotels/regent_abbottabad.jpg
Bahawalpur,Hotel One Bahawalpur,3,11500,4.3,images/hotels/hotel_one_bahawalpur.jpg
Bahawalpur,Grand Regency Hotel,4,15000,4.6,images/hotels/grand_regency_bahawalpur.jpg
Bahawalpur,Pelican Hotel,3,10000,4.1,images/hotels/pelican_hotel.jpg
Bahawalpur,Tazij Hotel,3,8500,3.9,images/hotels/tazij_hotel.jpg
Bahawalpur,Al-Haram Hotel,2,6500,3.7,images/hotels/al_haram_bahawalpur.jpg
Chitral,Hindukush Heights,4,22000,4.7,images/hotels/hindukush_heights.jpg
Chitral,Pamir Hotel Chitral,3,11000,4.2,images/hotels/pamir_hotel_chitral.jpg
Chitral,Mountain View Hotel,3,9000,4.0,images/hotels/mountain_view_chitral.jpg
Chitral,Chitral Inn,2,7000,3.8,images/hotels/chitral_inn.jpg
Chitral,Green Hill Hotel,2,6000,3.6,images/hotels/green_hill_chitral.jpg
Dera Ghazi Khan,Hotel Shalimar DG Khan,3,9000,4.0,images/hotels/shalimar_dgkhan.jpg
Dera Ghazi Khan,Royal Palace Hotel,3,10500,4.2,images/hotels/royal_palace_dgkhan.jpg
Dera Ghazi Khan,Indus Hotel,3,8000,3.9,images/hotels/indus_hotel_dgkhan.jpg
Dera Ghazi Khan,Al-Madina Inn,2,6000,3.6,images/hotels/al_madina_dgkhan.jpg
Dera Ghazi Khan,City Gate Hotel,2,5500,3.5,images/hotels/city_gate_dgkhan.jpg
Faisalabad,Serena Hotel Faisalabad,5,24000,4.8,images/hotels/serena_faisalabad.jpg
Faisalabad,Hotel One Faisalabad,3,13000,4.3,images/hotels/hotel_one_faisalabad.jpg
Faisalabad,Grand Regency Faisalabad,4,17000,4.5,images/hotels/grand_regency_faisalabad.jpg
Faisalabad,Ramee Royal Hotel,3,11000,4.1,images/hotels/ramee_royal.jpg
Faisalabad,City Inn Faisalabad,2,7500,3.8,images/hotels/city_inn_faisalabad.jpg
Gilgit,Serena Hotel Gilgit,5,28000,4.9,images/hotels/serena_gilgit.jpg
Gilgit,Hotel Park Hotel Gilgit,3,12000,4.3,images/hotels/park_hotel_gilgit.jpg
Gilgit,Riverview Hotel,3,10000,4.1,images/hotels/riverview_gilgit.jpg
Gilgit,Gilgit Gateway Hotel,3,9500,4.0,images/hotels/gateway_gilgit.jpg
Gilgit,North Inn Gilgit,2,7000,3.7,images/hotels/north_inn_gilgit.jpg
Gujranwala,Hotel One Gujranwala,3,12500,4.3,images/hotels/hotel_one_gujranwala.jpg
Gujranwala,Rachna Pearl Hotel,4,16500,4.6,images/hotels/rachna_pearl.jpg
Gujranwala,Mughal Executive Hotel,3,10000,4.1,images/hotels/mughal_gujranwala.jpg
Gujranwala,Crown Inn Gujranwala,2,7500,3.8,images/hotels/crown_inn_gujranwala.jpg
Gujranwala,Al-Khair Hotel,2,6000,3.6,images/hotels/al_khair_gujranwala.jpg
Hyderabad,Hotel Crown Plaza Hyderabad,4,15000,4.4,images/hotels/crown_plaza_hyderabad.jpg
Hyderabad,Indus Hotel Hyderabad,3,11000,4.2,images/hotels/indus_hotel_hyderabad.jpg
Hyderabad,Hotel One Hyderabad,3,13000,4.3,images/hotels/hotel_one_hyderabad.jpg
Hyderabad,Faran Hotel,2,7500,3.8,images/hotels/faran_hotel.jpg
Hyderabad,City Palace Hyderabad,2,6500,3.6,images/hotels/city_palace_hyderabad.jpg
Islamabad,Serena Hotel Islamabad,5,35000,4.9,images/hotels/serena_islamabad.jpg
Islamabad,Marriott Hotel Islamabad,5,32000,4.8,images/hotels/marriott_islamabad.jpg
